//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
// 군직 NPC
m       623     594     0       0       0       1       1m      100     1       20300
m       627     594     0       0       0       1       1m      100     1       20301
m       631     594     0       0       0       1       1m      100     1       20302
m       635     594     0       0       0       1       1m      100     1       20303
m       645     594     0       0       0       1       1m      100     1       20304
m       649     594     0       0       0       1       1m      100     1       20305
m       653     594     0       0       0       1       1m      100     1       20306
m       657     594     0       0       0       1       1m      100     1       20307
// 상점 주인들
m	676	662	0	0	0	6	1m	100	1	9001
//m	675	663	0	0	0	6	1m	100	1	9007
m	676	617	0	0	0	7	1m	100	1	9002
//m	672	611	0	0	0	7	1m	100	1	20017
m	590	689	0	0	0	4	1m	100	1	9003
//m	632	626	0	0	0	4	1m	100	1	9003
m	609	596	0	0	0	2	1m	100	1	9005
m	588	633	0	0	0	1	1m	100	1	9006
//m	659	697	0	0	0	1	1m	100	1	20369
m	594	692	0	0	0	4	1m	100	1	20016
m	590	678	0	0	0	2	1m	100	1	20381
//m	590	707	0	0	0	3	1s	100	1	20091
//m	610	678	0	0	0	4	1m	100	1	60003
//m	612	680	0	0	0	4	1m	100	1	20504
//m	614	682	0	0	0	4	1m	100	1	20503
//m	393	702	0	0	0	3	1s	100	1	20091
//m	589	724	0	0	0	6	1m	100	1	20094
//m	591	722	0	0	0	6	1m	100	1	20086
//m	593	720	0	0	0	6	1m	100	1	20378
//m	595	718	0	0	0	6	1m	100	1	20383
//m	597	716	0	0	0	6	1m	100	1	20090
m	624	634	0	0	0	6	1m	100	1	20377
m	624	638	0	0	0	6	1m	100	1	20378
//m	601	712	0	0	0	6	1m	100	1	20092
//m	603	710	0	0	0	6	1m	100	1	20380
//m	605	708	0	0	0	6	1m	100	1	20018
//m	607	706	0	0	0	6	1m	100	1	20021
//m	596	695	0	0	0	0	1m	100	1	9013
//m	586	685	0	0	0	4	1m	100	1	20005
//m	600	669	0	0	0	4	1m	100	1	20087
//m	598	667	0	0	0	4	1m	100	1	20022
// 어부들----------------------------------------------------------------------------
m	675	539	0	0	0	0	1m	100	1	9009
m	742	879	0	0	0	0	1m	100	1	9009
m	206	552	0	0	0	0	1m	100	1	9009
m	218	679	0	0	0	0	1m	100	1	9009
m	221	865	0	0	0	0	1m	100	1	9009
m	231	976	0	0	0	0	1m	100	1	9009
m	234	1077	0	0	0	0	1m	100	1	9009
// NPC-------------------------------------------------------------------------------
m	549	610	0	0	0	2	1m	100	1	20349
m	581	620	0	0	0	1	1m	100	1	20008
m	692	577	0	0	0	0	1m	100	1	20023
m	554	597	1	1	0	0	1m	100	1	20002
m	553	663	1	1	0	0	1m	100	1	20003
//g	659	772	1	1	0	0	1m	100	1	11003
m	717	633	1	1	0	0	1m	100	1	20006
m	655	553	1	1	0	0	1m	100	1	20011
m	674	590	1	1	0	0	1m	100	1	20018
g	533	599	1	1	0	0	1m	100	1	12007
// 워프-----------------------------------------------------------------------------------
m	876	1127	0	0	0	0	1m	100	1	10003
// 워프용 npc
m	908	87	0	0	0	0	1m	100	1	20009
m	519	512	0	0	0	0	1m	100	1	9012
//m	614	116	0	0	0	3	1m	100	1	10085

// 길드
m	633	640	0	0	0	0	1m	100	1	11002
m	623	617	0	0	0	0	1m	100	1	11003
// 근면의 훈장 이벤트용 NPC
m	659	772	1	1	0	0	1m	100	1	20041
// 다나까 -----------------------------------------------------------------------------------
// QuestNPC-------------------------------------------------------------------------------
m	772	682	0	0	0	0	1m	100	1	20355
m	571	558	0	0	0	0	1m	100	1	20354
m	507	634	0	0	0	0	1m	100	1	20354
m	250	1104	0	0	0	0	1m	100	1	20358
m	614	1167	0	0	0	0	1m	100	1	20357
m	898	797	0	0	0	0	1m	100	1	20084
// 이벤트용 NPC
m	864	823	0	0	0	0	1m	100	1	20086
m	854	827	0	0	0	0	1m	100	1	20087
m	538	784	0	0	0	0	1m	100	1	20090

// over9제련 NPC
m	660	679	0	0	0	7	1m	100	1	20092
m	658	681	0	0	0	7	1m	100	1	20093
m	656	683	0	0	0	7	1m	100	1	20094
m	654	685	0	0	0	7	1m	100	1	20095

m	615	564	0	0	0	3	1m	100	1	20001
