m	724	1305	25	25	0	0	30s	100	1	8008
m	753	1361	25	25	0	0	30s	100	1	8008
m	798	1317	25	25	0	0	30s	100	1	8008
m	884	1376	25	25	0	0	30s	100	1	8008
m	967	1302	25	25	0	0	30s	100	1	8008
m	1245	1343	25	25	0	0	30s	100	1	8008
m	1225	1379	25	25	0	0	30s	100	1	8008
m	1287	1385	25	25	0	0	30s	100	1	8008
m	1406	1195	25	25	0	0	30s	100	1	8008
m	1364	1153	25	25	0	0	30s	100	1	8008
m	1284	898	25	25	0	0	30s	100	1	8008
m	1314	812	25	25	0	0	30s	100	1	8008
m	1337	759	25	25	0	0	30s	100	1	8008
m	1257	735	25	25	0	0	30s	100	1	8008
m	1142	1073	25	25	0	0	30s	100	1	8008
m	1029	1053	25	25	0	0	30s	100	1	8008
m	1008	1118	25	25	0	0	30s	100	1	8008
m	1094	1156	25	25	0	0	30s	100	1	8008
m	747	1100	25	25	0	0	30s	100	1	8008
m	718	1127	25	25	0	0	30s	100	1	8008
m	774	1139	25	25	0	0	30s	100	1	8008
m	534	1056	25	25	0	0	30s	100	1	8008
m	368	1062	25	25	0	0	30s	100	1	8008
m	427	1125	25	15	0	0	30s	100	1	8008
m	516	1109	25	25	0	0	30s	100	1	8008
m	489	1177	25	25	0	0	30s	100	1	8008
m	213	1222	25	25	0	0	30s	100	1	8008
m	205	1281	25	25	0	0	30s	100	1	8008
m	264	1311	25	25	0	0	30s	100	1	8008
m	255	1257	25	25	0	0	30s	100	1	8008
m	374	1361	25	25	0	0	30s	100	1	8008
m	199	638	25	25	0	0	30s	100	1	8008
m	216	700	25	25	0	0	30s	100	1	8008
m	205	762	25	25	0	0	30s	100	1	8008
m	193	810	25	25	0	0	30s	100	1	8008
m	163	875	25	25	0	0	30s	100	1	8008
m	359	513	25	25	0	0	30s	100	1	8008
m	388	466	25	25	0	0	30s	100	1	8008
m	276	406	25	25	0	0	30s	100	1	8008
m	302	451	25	25	0	0	30s	100	1	8008
m	466	445	25	25	0	0	30s	100	1	8008
m	537	403	25	25	0	0	30s	100	1	8008
m	380	353	25	25	0	0	30s	100	1	8008
m	439	353	25	25	0	0	30s	100	1	8008
m	205	205	25	25	0	0	30s	100	1	8008
m	160	163	25	25	0	0	30s	100	1	8008
